id-article-new,id-article,Event-id-country,Event-id-no-country,Event Date 1,Event Date 2,Event-Year,datetime precision,Event-Type 1,Event-Type 2,Event-Type 3,Event-Type 4,nbre-event-type,Event-Type-health 1,Event-Type-health 2,Event-Type-health 3,Event-Type-health 4,Event-Type-Social 1,Event-Type-Social 2,Event-Type-Social 3,Event-Type-Social 4,Event-Type-Social 5,Event-Type-Social 6,Event-Type-Social 7,Event-Type-Movements 1,Event-Type-Movements 2,Event-Type-Movements 3,Event-Type-Movements 4,Event-Type-Movements 5,Event-Type-Movements 6,Event-Type Security 1,Event-Type Security 2,Event-Type Security 3,Event-Type Security 4,Number of infected migrants,Number of migrant in quarantine,Number of deaths at sea,Number of deaths when crossing borders,Number of rescued people when crossing borders,Number of arrived people by sea,Number of arrived people through boarders,Number of departed people by sea,Number of departed people through boarders,Number of migrants deaths by COVID -19,Number of migrants healed of COVID-19,Number of people deported on sea,Number of people deported through borders,Actors 1,Actors 2,Actors 3,,Sub-actors 1,Sub-actors 2,Sub-actors 3,Sub-actors 4,Sub-actors 5,Sub-actors 6,Sub-actors 7,City 1,Latitude-city1_degrees,Latitude-city1_minutes,Latitude-city1_seconds,Latitude-city1_direction,Longitude-city1_degrees,Longitude-city1_minutes,Longitude-city1_seconds,Longitude-city1_direction,City 2,Latitude-city 2_degrees,Latitude-city 2_minutes,Latitude-city 2_seconds,Latitude-city 2_direction,Longitude-city 2_degrees,Longitude-city 2_minutes,Longitude-city 2_seconds,Longitude-city 2_direction,City 3,Latitude-City 3_degrees,Latitude-City 3_minutes,Latitude-City 3_seconds,Latitude-City 3_direction,Longitude-City 3_degrees,Longitude-City 3_minutes,Longitude-City 3_seconds,Longitude-City 3_direction,City 4,Latitude-City 4_degrees,Latitude-City 4_minutes,Latitude-City 4_seconds,Latitude-City 4_direction,Longitude-City 4_degrees,Longitude-City 4_minutes,Longitude-City 4_seconds,Longitude-City 4_direction,Geo-precision,Source-Country,Source-date,Source-Type,Language,Source-Name,Notes,Link to the press article,Notes / Quotes
E078LBY,E65,LBY,LBY65,,,2020,No,Health,,,,1,access to health care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migrants,NGO (Non Governmental Organisation),,,Governorate,,,,,,,LY-TB-Tarabulus,32,52,"30,68",N,11,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,International,2020-06-17,Written press,English,EU Neighbours ,The European Union funds new project to provide enhanced health severcies to the vulnerable populations,https://www.euneighbours.eu/en/south/stay-informed/news/libya-european-union-funds-new-project-provide-enhanced-health-services,
E079LBY,E66,LBY,LBY66,23-07-2020,22-07-2020,2020,Yes,Movements,Health,Social,,3,access to health care,infections,,,NGOs actions,accomodation,,,,,,Rescued at sea,Arrival by sea,,,,,,,,,,,,,,"6,027",,,,,,,,Migrants,NGO (Non Governmental Organisation),Coast guards,,Governorate,UNHCR,others,,,,,LY-TB-Tarabulus,32,52,"30,68",N,11,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Libya,24-07-2020,Written press,English,UN High Commissioner for Refugees ,UNHCR Update Libya [24 July 2020] [ EN/ AR],https://reliefweb.int/report/libya/unhcr-update-libya-24-july-2020-enar,
E080LBY,E67,LBY,LBY67,,,2020,No,Health,,,,1,access to health care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migrants,Health care,Authorities,,UNHCR,others,,,,,,LY-TB-Tarabulus,32,52,"30,68",N,11,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Libya,16-07-2020,Written press,English,UN High Commissioner for Refugees ,UNHCR helps re - open health centre during lockdown in Libya ,https://www.unhcr.org/news/stories/2020/7/5f0ffb954/unhcr-helps-re-open-health-centre-during-lockdown-libya.html,
E081MAR,E68,MAR,MAR68,01-06-2020,,2020,No,Movements,,,,1,,,,,jobs,,,,,,,Arrival by sea,,,,,,,,,,,,,,,,,,,,,,,Migrants,NGO (Non Governmental Organisation),,,IOM,,,,,,,LY-ZA-Az Zawiyah => Sorman,32,45,16,N,12,43,47,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK,01-07-2020,Written press,English,Middle East Eye ,Perilous crossings from North Africa to Europe swell as economic gloom sets in ,https://www.middleeasteye.net/news/coronavirous-maghrebs-migrants-increase-europe,
E082LBY,E69,LBY,LBY69,24-03-2020,13-04-2020,2020,No,Health,Social,,,2,infections,quarantine,,,jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migrants,Health care,,,,,,,,,,LY-TB-Tarabulus,32,52,"30,68",N,11,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkey,16-05-2020,Written press,English,DTM,More on the impacts of COVID -19 on vulnerable populations in Libya ,https://bit.ly/2zihhKW,
E083LBY,E70,LBY,LBY70,01-02-2020,,2020,No,Movements,Health,,,2,infections,,,,,,,,,,,Arrival by sea,,,,,,,,,,,,,,,,,,,,,40000,,Migrants,Authorities,Coast guards,,IOM,others,,,,,,LY-TB-Tarabulus,32,52,"30,68",N,11,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,USA,20-05-2020,Written press,English,Future Development ,Libya and its migrants confront new threats ,https://www.brookings.edu/blog/future-development/2020/05/2020/libya-and-its-migrants-confront-new-threats/?preview-id=809826,
E084LBY,E71,LBY,LBY71,13-04-2020,,2020,Yes,Security,Health,,,2,infections,,,,,,,,,,,,,,,,,Armed clashes,,,,,,,,,,,,,,,,,Military,,,,,,,,,,,LY-TB-Tarabulus,32,52,"30,68",N,11,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,France,16-04-2020,Video,English,Euronews ,"Libya :  Caught between bombs , bullets and now COVID -19",https://www.youtube.com/watch?v=Uspzc9JJ744,
E085LBY,E72,LBY,LBY72,01-04-2020,,2020,No,Movements,Security,Social,,3,,,,,jobs,,,,,,,Rescued at sea,Dying in sea,,,,,Armed clashes,,,,,,5,,,68,,,,,,,,Migrants,NGO (Non Governmental Organisation),Authorities,,Governorate,IOM,others,,,,,LY-TB-Tarabulus,32,52,"30,68",N,11,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Germany,17-04-2020,Written press,English,Deutsche Welle,Coronavirus crises hampering Mediterranean migrant rescues ,https://www.dw.com/en/coronavirus-crises-hampering-mediterranean-migrant-rescues/a-53168399,
E086MLT,E73,MLT,MLT73,07-04-2020,,2020,Yes,Movements,,,,1,,,,,,,,,,,,Dying in sea,Departure by sea,,,,,,,,,,,12,,,,,,,,,,,Migrants,NGO (Non Governmental Organisation),Authorities,,UNHCR,,,,,,,MT-60-Valletta,35,53,52,N,14,30,45,E,LY-TB-Tarabulus,32,52,"30,68",N,11,11,"14,86",E,,,,,,,,,,,,,,,,,,,Approximately,International,13-05-2020,Written press,English, The Conversation ,Migration:how Europe is using coronavirus to reinforce its hostile environment in the Mediterranean ,https://theconversation.com/migration-how-europe-is-using-coronavirus-to-reinforce-its-hostile-environment-in-the-mediterranean-137840,
E087MLT,E74,MLT,MLT74,01-04-2020,,2020,No,Movements,Health,,,2,quarantine,,,,,,,,,,,Dying in sea,Rescued at sea,Arrival by sea,Departure by sea,,,,,,,,,63,,,706,392,292,,,,,,Migrants,NGO (Non Governmental Organisation),Authorities,,Governorate,IOM,,,,,,MT-60-Valletta,35,53,52,N,14,30,45,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Switzeland,12-05-2020,Written press,English,IOM UN Migration ,"COVID-19 Control Measures, Gap in SaR Capacity Increase Concern About 'Invisble Shipwrecks ",https://www.iom.int/news/covid-19-control-measures-gap-sar-capacity-increases-concern-about-invisble-shipwrecks.,
E088LBY,E75,LBY,LBY75,,,2020,No,Movements,Social,Health,Security,4,quarantine,,,,jobs,,,,,,,Arrival by sea,Rescued at sea,Departure by sea,,,,,,,,,,,,,125,,,,,,51,,Migrants,NGO (Non Governmental Organisation),Coast guards,,Governorate,IOM,,,,,,LY-TB-Tarabulus,32,52,"30,68",N,11,11,,14.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,USA,04-05-2020,Written press,English,abc NEWS ,"Rescued Migrants Stranded at Sea , Not Allowed to Any EU Port",https://abcnews.go.com/international/wireStory/rescued-migrants-stranded-sea-allowed-eu-port-70489077,
E089MLT,E76,MLT,MLT76,14-04-2020,15-04-2020,2020,Yes,Movements,,,,1,,,,,,,,,,,,Dying in sea,Departure by sea,,,,,,,,,,,,,,,,,,,,,,Migrants,Authorities,Coast guards,,Governorate,IOM,,,,,,MT-60-Valletta,35,53,52,N,14,30,45,E,LY-TB-Tarabulus,32,52,"30,68",N,11,11,"14,86",E,,,,,,,,,,,,,,,,,,,Approximately,USA,30-04-2020,Written press,English,The New York Times ,"Latest Tactic to Push Migrants From Europe ? A private , Clandestine Fleet ",https://www.nytimes.com/2020/04/30/world/europe/migrants-malta.html?auth=login-goggle&smid=tw-share,
E090ITA,E77,ITA,ITA77,30-01-2020,,2020,No,Movements,Health,,,2,risk of infections,quarantine,,,,,,,,,,Arrival by sea,Dying in sea,Rescued at sea,Departure by sea,,,,,,,,,10000,,,"492,841",,947,,,,,,Migrants,NGO (Non Governmental Organisation),Authorities,,Governorate,others,,,,,,LY-TB-Tarabulus,32,52,"30,68",N,11,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,USA,06-04-2020,Written press,English,The Washington Institute ,"Italy , Libya, and the Threat of Coronavirus ",https://www.washingtoninstitute.org/fikraforum/view/Italy-Libya-Coronavirus-COVID-Middle-East-Refugees-Migration,
E091TUN,E78,TUN,TUN78,06-04-2020,21-03-2020,2020,Yes,Social,Health,,,2,infections,access to health care,,,government actions,accomodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migrants,OSC (Organisation of civil society),Authorities,,Governorate,IOM,UNHCR,,,,,TN-11-Tunis,36,48,3,N,10,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,USA,17-04-2020,Written press,English,Al-Monitor,Migrants in detention center go on hunger strike in fear of coronavirus ,https://www.al-monitor.com/pulse/originals/2020/04/tunisia-migrants-detention-lack-protection-coronavirus.html#ixzz6MXf31BA2,
E092MLT,E79,MLT,MLT79,14-07-2020,,2020,Yes,Movements,,,,1,,,,,,,,,,,,Rescued at sea,Dying in sea,Arrival by sea,Departure by sea,,,,,,,,,5,,,1500,,,,,,51,,Migrants,NGO (Non Governmental Organisation),Authorities,,IOM,others,,,,,,MT-60-Valletta,35,53,52,N,14,30,45,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Germany,01-05-2020,Written press,English,Deutsche Welle,Malta to keep migrants at sea until EU acts ,https://www.dw.com/en/malta-to-keep-migrants-at-sea-until-eu-acts/a-53306405,
E093LBY,E8,LBY,LBY1,08-05-2020,,2020,No,Movements,Health,Social,Security,4,risk of infections,,,,government actions,jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migrants,Smugglers,Authorities,,Governorate,CTR,,,,,,LY-NQ-An Nuqat al Khams => Zuwara,32,,56,N,12,,5,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Libya,06-05-2020,Written press,English,African Arguement,,https://africanarguments.org/2020/05/06/how-has-human-smuggling-changed-under-covid-19/,How has human smuggling changed under COVID-19?
E094ITA,E80,ITA,ITA80,29-04-2020,,2020,Yes,Movements,Health,,,2,quarantine,,,,,,,,,,,Arrival by sea,Dying in sea,,,,,,,,,,,1,,,,,,,,,,,Migrants,NGO (Non Governmental Organisation),Authorities,,,,,,,,,TN-11-Tunis,36,48,3,N,10,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,France,22-05-2020,Written press,English,Info Migrants ,Migrant drowns after jumping off quarantine ship ,https://www.infomigrants.net/en/post/24913/migrant-drowns-after-jumping-off-quarantine-ship,
E095GRC,E81,GRC,GRC81,,,,,Movements,,,,1,,,,,,,,,,,,Arrival by sea,,,,,,,,,,,,,,,,,,,,,,,NGO (Non Governmental Organisation),Authorities,Smugglers,,others,,,,,,,LY-TB-Tarabulus,32,52,"30,68",N,11,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,UK,28-04-2020,Written press,English,The Bureau of Investigative Journalism ,Impact des appli de trackage,https://www.thebureauinvestigatives.com/stories/2020-04-28/monitoring-being-pitched-to-fight-covid-19-was-first-tested-on-refugees ,
E096MLT,E82,MLT,MLT82,01-04-2020,,2020,No,Movements,Social,Health,,3,access to health care,,,,Details on lockdown,jobs,,,,,,Arrival by sea,Dying in sea,Departure by sea,,,,,,,,,,283,,,5188,,292,,,,,,Migrants,Authorities,Health care,,Governorate,UNHCR,,,,,,MT-60-Valletta,35,53,52,N,14,30,45,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Germany,18-09-2020,Written press,English,Migration Data Portal,Migration data relevant for the COVID-19 pandemic ,https://migrationdataportal.org/themes/migration-data-relevant-covid-19-pandemic,
