,Event Date 1,Event Date 2,Event-Type 1,Event-Type 2,Event-Type 3,Event-Type 4,Event-Type-health 1,Event-Type-health 2,Event-Type-health 3,Event-Type-health 4,Event-Type-Social 1,Event-Type-Social 2,Event-Type-Social 3,Event-Type-Social 4,Event-Type-Social 5,Event-Type-Social 6,Event-Type-Social 7,Event-Type-Movements 1,Event-Type-Movements 2,Event-Type-Movements 3,Event-Type-Movements 4,Event-Type-Movements 5,Event-Type-Movements 6,Event-Type Security 1,Event-Type Security 2,Event-Type Security 3,Event-Type Security 4,Number of infected migrants,Number of migrant in quarantine,Number of deaths at sea,Number of deaths when crossing borders,Number of rescued people when crossing borders,Number of arrived people by sea,Number of arrived people through boarders,Number of migrants deaths by COVID -19,Number of migrants healed of COVID-19,Number of people deported on sea,Number of people deported through borders,City 1,Latitude-city1_degrees,Latitude-city1_minutes,Latitude-city1_seconds,Latitude-city1_direction,Longitude-city1_degrees,Longitude-city1_minutes,Longitude-city1_seconds,Longitude-city1_direction,City 2,Latitude-city 2_degrees,Latitude-city 2_minutes,Latitude-city 2_seconds,Latitude-city 2_direction,Longitude-city 2_degrees,Longitude-city 2_minutes,Longitude-city 2_seconds,Longitude-city 2_direction,City 3,Latitude-City 3_degrees,Latitude-City 3_minutes,Latitude-City 3_seconds,Latitude-City 3_direction,Longitude-City 3_degrees,Longitude-City 3_minutes,Longitude-City 3_seconds,Longitude-City 3_direction,City 4,Latitude-City 4_degrees,Latitude-City 4_minutes,Latitude-City 4_seconds,Latitude-City 4_direction,Longitude-City 4_degrees,Longitude-City 4_minutes,Longitude-City 4_seconds,Longitude-City 4_direction,Source-Country,Source-date,Source-Type,Language,City,City code,Country
214,2020-03-01,2020-06-05,Movements,Social,,,,,,,accomodation,jobs,,,,,,Arrival by sea,Departure by sea,Dying in sea,Arrivals through borders,,,,,,,,,888,,,591,217,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-06-05,Written press,Arabic,Tunis,TN-11,Tunisia
215,2020-06-09,2020-06-04,Movements,,,,,,,,,,,,,,,Dying in sea,Departure by sea,,,,,,,,,,,20,,,,,,,,,TN-61-Sfax,34.0,44.0,26,N,10.0,45,37,E,TN-61-Sfax => Kerkennah,34.0,42,56,N,11.0,11.0,25,E,,,,,,,,,,,,,,,,,,,Tunisia,2020-06-09,Radio,French,Sfax,TN-61,Tunisia
216,2020-04-24,,Social,,,,,,,,government actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-04-24,Radio,French,Tunis,TN-11,Tunisia
217,2020-06-10,,Movements,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,TN-61-Sfax,34.0,44.0,26,N,10.0,45,37,E,TN-61-Sfax => Kerkennah,34.0,42,56,N,11.0,11.0,25,E,,,,,,,,,,,,,,,,,,,Tunisia,2020-06-10,Written press,French,Sfax,TN-61,Tunisia
218,2020-06-09,2020-06-05,Movements,,,,,,,,,,,,,,,Dying in sea,Departure by sea,,,,,,,,,,,20,,,,,,,,,TN-61-Sfax => Kerkennah,34.0,42.0,56,N,11.0,11,25,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,2020-06-10,Written press,French,Sfax,TN-61,Tunisia
219,2020-06-11,2020-06-09,Movements,,,,,,,,,,,,,,,Dying in sea,Departure by sea,,,,,,,,,,,53,,,,,,,,,TN-61-Sfax => Kerkennah,34.0,42.0,56,N,11.0,11,25,E,TN-61-Sfax,34.0,44,26,N,10.0,45.0,37,E,,,,,,,,,,,,,,,,,,,Tunisia,2020-06-11,Written press,French,Sfax,TN-61,Tunisia
220,2020-06-11,2020-06-05,Movements,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,TN-61-Sfax => Kerkennah,34.0,42.0,56,N,11.0,11,25,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,2020-06-11,Written press,French,Sfax,TN-61,Tunisia
221,2020-06-11,2020-01-01,Movements,Social,,,,,,,jobs,,,,,,,,,,,,,,,,,,,52,,,,,,,,,TN-61-Sfax => Kerkennah,34.0,42.0,56,N,11.0,11,25,E,TN-61-Sfax,34.0,44,26,N,10.0,45.0,37,E,,,,,,,,,,,,,,,,,,,France,2020-06-11,Written press,French,Sfax,TN-61,Tunisia
222,2020-06-13,2020-06-04,Movements,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,TN-61-Sfax => Kerkennah,34.0,42.0,56,N,11.0,11,25,E,TN-61-Sfax,34.0,44,26,N,10.0,45.0,37,E,,,,,,,,,,,,,,,,,,,France,2020-06-15,Written press,French,Sfax,TN-61,Tunisia
223,2020-06-16,,Social,,,,,,,,government actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-61-Sfax => Kerkennah,34.0,42.0,56,N,11.0,11,25,E,TN-61-Sfax,34.0,44,26,N,10.0,45.0,37,E,,,,,,,,,,,,,,,,,,,Tunisia,2020-06-16,Written press,French,Sfax,TN-61,Tunisia
