,Article ID,Unnamed: 0.1.1.1,Event Date,Event Type,Event-Type Precision,Number of infected migrants,Number of migrant in quarantine,Number of deaths at sea,Number of deaths when crossing borders,Number of rescued people when crossing borders,Number of arrived people by sea,Number of arrived people through boarders,Number of migrants deaths by COVID -19,Number of migrants healed of COVID-19,Number of people deported on sea,Number of people deported through borders,City 1,Latitude-city1_degrees,Latitude-city1_minutes,Latitude-city1_seconds,Latitude-city1_direction,Longitude-city1_degrees,Longitude-city1_minutes,Longitude-city1_seconds,Longitude-city1_direction,Source-Country,Source-date,Source-Type,Language,City,City code,Country
68,10,10,28-08-2020,Movements,,,,,,,,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,35.0,31,,,Tunisia,29-08-2020,Video,Arabic,Sicilia,IT-82,Italy
70,10,10,28-08-2020,Arrival by sea,,,,,,,,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,35.0,31,,,Tunisia,29-08-2020,Video,Arabic,Sicilia,IT-82,Italy
71,11,11,01-08-2020,Movements,infections,,250.0,,,,1000/240,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
72,11,11,01-08-2020,Movements,infections,,250.0,,,,1000/240,,,,,E,TN-11-Tunis,36.0,48,3,N,10.0,10.0,48,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
73,11,11,01-08-2020,Movements,infections,,250.0,,,,1000/240,,,,,E,IT-RM-Roma,41.0,53.0,35,N,12.0,28.0,58,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
74,11,11,01-08-2020,Movements,infections,,250.0,,,,1000/240,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
79,11,11,01-08-2020,Arrival by sea,infections,,250.0,,,,1000/240,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
80,11,11,01-08-2020,Arrival by sea,infections,,250.0,,,,1000/240,,,,,E,TN-11-Tunis,36.0,48,3,N,10.0,10.0,48,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
81,11,11,01-08-2020,Arrival by sea,infections,,250.0,,,,1000/240,,,,,E,IT-RM-Roma,41.0,53.0,35,N,12.0,28.0,58,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
82,11,11,01-08-2020,Arrival by sea,infections,,250.0,,,,1000/240,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
91,11,11,01-08-2020,infections,infections,,250.0,,,,1000/240,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
92,11,11,01-08-2020,infections,infections,,250.0,,,,1000/240,,,,,E,TN-11-Tunis,36.0,48,3,N,10.0,10.0,48,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
93,11,11,01-08-2020,infections,infections,,250.0,,,,1000/240,,,,,E,IT-RM-Roma,41.0,53.0,35,N,12.0,28.0,58,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
94,11,11,01-08-2020,infections,infections,,250.0,,,,1000/240,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
95,11,11,01-08-2020,risk of infections,infections,,250.0,,,,1000/240,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
96,11,11,01-08-2020,risk of infections,infections,,250.0,,,,1000/240,,,,,E,TN-11-Tunis,36.0,48,3,N,10.0,10.0,48,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
97,11,11,01-08-2020,risk of infections,infections,,250.0,,,,1000/240,,,,,E,IT-RM-Roma,41.0,53.0,35,N,12.0,28.0,58,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
98,11,11,01-08-2020,risk of infections,infections,,250.0,,,,1000/240,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
99,11,11,01-08-2020,quarantine,infections,,250.0,,,,1000/240,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
100,11,11,01-08-2020,quarantine,infections,,250.0,,,,1000/240,,,,,E,TN-11-Tunis,36.0,48,3,N,10.0,10.0,48,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
101,11,11,01-08-2020,quarantine,infections,,250.0,,,,1000/240,,,,,E,IT-RM-Roma,41.0,53.0,35,N,12.0,28.0,58,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
102,11,11,01-08-2020,quarantine,infections,,250.0,,,,1000/240,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
107,11,11,01-08-2020,accomodation,infections,,250.0,,,,1000/240,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
108,11,11,01-08-2020,accomodation,infections,,250.0,,,,1000/240,,,,,E,TN-11-Tunis,36.0,48,3,N,10.0,10.0,48,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
109,11,11,01-08-2020,accomodation,infections,,250.0,,,,1000/240,,,,,E,IT-RM-Roma,41.0,53.0,35,N,12.0,28.0,58,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
110,11,11,01-08-2020,accomodation,infections,,250.0,,,,1000/240,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
111,12,12,15-08-2020,Movements,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
112,12,12,15-08-2020,Movements,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
115,12,12,15-08-2020,Departure by sea,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
116,12,12,15-08-2020,Departure by sea,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
117,12,12,15-08-2020,Dying in sea,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
118,12,12,15-08-2020,Dying in sea,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
119,12,12,15-08-2020,Rescued at sea,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
120,12,12,15-08-2020,Rescued at sea,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
123,12,12,15-08-2020,government actions,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
124,12,12,15-08-2020,government actions,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
125,13,13,01-08-2020,Movements,infections,,,,,,6383,,,,,37,IT-RM-Roma,41.0,53.0,35,N,12.0,28,58,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
126,13,13,01-08-2020,Movements,infections,,,,,,6383,,,,,E,TN-51-Sousse,35.0,50,,N,10.0,38.0,,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
127,13,13,01-08-2020,Movements,infections,,,,,,6383,,,,,E,,,,,,,,,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
131,13,13,01-08-2020,Arrival by sea,infections,,,,,,6383,,,,,37,IT-RM-Roma,41.0,53.0,35,N,12.0,28,58,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
132,13,13,01-08-2020,Arrival by sea,infections,,,,,,6383,,,,,E,TN-51-Sousse,35.0,50,,N,10.0,38.0,,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
133,13,13,01-08-2020,Arrival by sea,infections,,,,,,6383,,,,,E,,,,,,,,,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
134,13,13,01-08-2020,deportation,infections,,,,,,6383,,,,,37,IT-RM-Roma,41.0,53.0,35,N,12.0,28,58,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
135,13,13,01-08-2020,deportation,infections,,,,,,6383,,,,,E,TN-51-Sousse,35.0,50,,N,10.0,38.0,,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
136,13,13,01-08-2020,deportation,infections,,,,,,6383,,,,,E,,,,,,,,,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
143,13,13,01-08-2020,infections,infections,,,,,,6383,,,,,37,IT-RM-Roma,41.0,53.0,35,N,12.0,28,58,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
144,13,13,01-08-2020,infections,infections,,,,,,6383,,,,,E,TN-51-Sousse,35.0,50,,N,10.0,38.0,,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
145,13,13,01-08-2020,infections,infections,,,,,,6383,,,,,E,,,,,,,,,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
149,13,13,01-08-2020,accomodation,infections,,,,,,6383,,,,,37,IT-RM-Roma,41.0,53.0,35,N,12.0,28,58,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
150,13,13,01-08-2020,accomodation,infections,,,,,,6383,,,,,E,TN-51-Sousse,35.0,50,,N,10.0,38.0,,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
151,13,13,01-08-2020,accomodation,infections,,,,,,6383,,,,,E,,,,,,,,,E,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
152,14,14,01-08-2020,Movements,,,,3,,14,,,,,,,TN-82-Mdenine => Zarzis,33.0,30.0,,N,11.0,7,,E,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
153,14,14,01-08-2020,Movements,,,,3,,14,,,,,,E,TN-82-Mdenine => Ben Gardane,33.0,8,20,N,11.0,13.0,,E,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
